LINK,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=90e62a13de157167,클라우드 서버/보안/DB 엔지니어,서울 서초구,,"Architecture 설계, 운영 경험 - Infra Trouble Shooting 및 Tuning 경험 - OS( Linux, Windows), 스토리지, 네트워크, 보안 기본 이해 - 3-Tier 구조 및 CI/CD 등..."
https://kr.indeed.com/viewjob?jk=b3a6c83c9debcb92,네이버 파이낸셜 플랫폼 운영,성남 삼평동,,"[업무내용] - Linux 및 Docker container... 운영도구(배포/IaC/모니터링) 자동화 및 고도화 수행 [지원자격] - Linux System 관련 지식을 보유하신 분 - Web/Was, DB..."
https://kr.indeed.com/viewjob?jk=44f16e94e3e6b589,"Staff Software Engineer, Maps & Navigation, Seoul, Korea",서울,,"test Design, code, and debug software on Linux-based embedded platforms and Linux servers Work... cross-functional team..."
https://kr.indeed.com/viewjob?jk=0785a8689a2995e7,서버운영 신입사원,인천 계양구,"연봉 25,000,000원 - 30,000,000원",허위사실이 있을 경우 채용이 취소될 수 있습니다. 인터넷·IT·통신·모바일·게임>네트워크·서버·보안>UNIX· LINUX계열 서버운영·관리|인터넷·IT·통신·모바일·게임>네트워크·서버·보안>기타 서버운영·관리|인터넷·IT·통신...
https://kr.indeed.com/viewjob?jk=8edf7d1db5588f20,기업금융 전산시스템 운영 담당자,인천,,커뮤니케이션 능력 Java/Oracle/C++ 사용 경험 <우대사항> 전산 운용 관리 경력 Unix/ Linux 환경에서의 Web 및 Batch개발 경험 근무조건 • 고용형태: 정규직 • 근무장소: 인천 남동구 구월...
https://kr.indeed.com/viewjob?jk=c080629a1054b9a1,네트워크 운영 경력사원 채용,서울,,"보유자 해외출장에 결격사유가 없는 자 [우대요건] 대기업 IDC 네트워크 구축/운영 경험자 CISCO, LINUX, 클라우드 관련 자격증 우대 Overlay (VxLAN, EVPN) 기술 보유 및 경험자 네트워크..."
https://kr.indeed.com/viewjob?jk=da9b34d987d05d7e,경력사원 공개,대한민국,,"C/C＋＋) -EtherCAT 기반 서보 드라이브 펌웨어 개발 경험 주요업무 -실시간 운영체제(VxWorks, Linux-RT) 기반 시스템/응용프로그램 개발 -커널 모듈 및 디바이스 드라이버(BSP) 개발 -EtherCAT..."
https://kr.indeed.com/viewjob?jk=05c0dc5a572e9513,[nasmedia] 2021년 12월 nasmedia,서울 강남구,,SQL|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Linux|인터넷·IT·통신·모바일·게임>응용프로그래머>iOS|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계...
https://kr.indeed.com/viewjob?jk=998e30f3942a3f8c,Apple Support Business and Education Advisor (Korean & Engli...,서울,,"iLife Products (GarageBand, iMovie, iPhoto) - Microsoft or Linux server experience - 3rd party multimedia software - Radius..."
https://kr.indeed.com/viewjob?jk=e624c9d1e26d6a98,C# SW 응용소프트웨어 개발자 경력사원,인천 연수구,,인터넷·IT·통신·모바일·게임>응용프로그래머>RMI·CORBA(Unix· Linux) |인터넷·IT·통신·모바일·게임>응용프로그래머>Pro-C |인터넷... 통신·모바일·게임>응용프로그래머> Linux |인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=18b288e9021d899f,NAVER IDC 서버 운영/관리,춘천 동면,,"전공자 또는 그에 준하는 지식을 보유하거나 기술력 향상에 의지가 있으신 분 - 가상화 개념과 서버 OS( Linux, Windows)에 경험이 있으신 분 - Shell script나 Python 등 관련 지식을 보유하신 분..."
